[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Loading dataset:   3%|████▎                                                                                                                                                     | 13/465 [00:00<00:03, 125.70it/s]
GPU ID:  0

Loading dataset: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 465/465 [00:03<00:00, 123.03it/s]

Loading dataset:  85%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎                      | 396/465 [00:02<00:00, 163.51it/s]
eta: 0:11:20  epoch: 1  step: 1001  rgb_loss: 0.1306  depth_loss: 0.0507  joint_loss: 0.0767  cross_entropy_loss: 0.8593  eikonal_loss: 0.0747  loss: 0.6223  beta: 0.0413  theta: 0.0000  data: 0.0163  batch: 0.6814  lr: 0.000477  max_mem: 9152
eta: 0:10:56  epoch: 1  step: 1061  rgb_loss: 0.1474  depth_loss: 0.0739  joint_loss: 0.2156  cross_entropy_loss: 0.8092  eikonal_loss: 0.0765  loss: 0.6444  beta: 0.0406  theta: -0.0119  data: 0.0155  batch: 0.6360  lr: 0.000477  max_mem: 9191
eta: 0:10:55  epoch: 1  step: 1062  rgb_loss: 0.1493  depth_loss: 0.0715  joint_loss: 0.2153  cross_entropy_loss: 0.8005  eikonal_loss: 0.0761  loss: 0.6395  beta: 0.0406  theta: -0.0122  data: 0.0155  batch: 0.6363  lr: 0.000477  max_mem: 9191
eta: 0:10:53  epoch: 1  step: 1063  rgb_loss: 0.1504  depth_loss: 0.0718  joint_loss: 0.2186  cross_entropy_loss: 0.7985  eikonal_loss: 0.0764  loss: 0.6401  beta: 0.0405  theta: -0.0125  data: 0.0155  batch: 0.6364  lr: 0.000477  max_mem: 9191
eta: 0:10:51  epoch: 1  step: 1064  rgb_loss: 0.1494  depth_loss: 0.0719  joint_loss: 0.2091  cross_entropy_loss: 0.8082  eikonal_loss: 0.0749  loss: 0.6433  beta: 0.0405  theta: -0.0128  data: 0.0157  batch: 0.6365  lr: 0.000477  max_mem: 9191
eta: 0:10:50  epoch: 1  step: 1065  rgb_loss: 0.1533  depth_loss: 0.0700  joint_loss: 0.2086  cross_entropy_loss: 0.8111  eikonal_loss: 0.0730  loss: 0.6466  beta: 0.0404  theta: -0.0131  data: 0.0157  batch: 0.6365  lr: 0.000477  max_mem: 9191
eta: 0:10:48  epoch: 1  step: 1066  rgb_loss: 0.1499  depth_loss: 0.0696  joint_loss: 0.2017  cross_entropy_loss: 0.8079  eikonal_loss: 0.0722  loss: 0.6408  beta: 0.0404  theta: -0.0135  data: 0.0157  batch: 0.6364  lr: 0.000477  max_mem: 9191
eta: 0:10:47  epoch: 1  step: 1067  rgb_loss: 0.1438  depth_loss: 0.0725  joint_loss: 0.2007  cross_entropy_loss: 0.8090  eikonal_loss: 0.0708  loss: 0.6379  beta: 0.0403  theta: -0.0138  data: 0.0156  batch: 0.6363  lr: 0.000477  max_mem: 9191
eta: 0:10:45  epoch: 1  step: 1068  rgb_loss: 0.1417  depth_loss: 0.0723  joint_loss: 0.1917  cross_entropy_loss: 0.8184  eikonal_loss: 0.0587  loss: 0.6387  beta: 0.0403  theta: -0.0142  data: 0.0156  batch: 0.6361  lr: 0.000477  max_mem: 9191
eta: 0:10:44  epoch: 1  step: 1069  rgb_loss: 0.1456  depth_loss: 0.0742  joint_loss: 0.1906  cross_entropy_loss: 0.8123  eikonal_loss: 0.0570  loss: 0.6412  beta: 0.0402  theta: -0.0145  data: 0.0157  batch: 0.6360  lr: 0.000477  max_mem: 9191
eta: 0:10:42  epoch: 1  step: 1070  rgb_loss: 0.1506  depth_loss: 0.0738  joint_loss: 0.1976  cross_entropy_loss: 0.8089  eikonal_loss: 0.0563  loss: 0.6443  beta: 0.0402  theta: -0.0149  data: 0.0157  batch: 0.6361  lr: 0.000477  max_mem: 9191
eta: 0:10:41  epoch: 1  step: 1071  rgb_loss: 0.1503  depth_loss: 0.0753  joint_loss: 0.2016  cross_entropy_loss: 0.8201  eikonal_loss: 0.0548  loss: 0.6512  beta: 0.0401  theta: -0.0153  data: 0.0158  batch: 0.6357  lr: 0.000477  max_mem: 9191
eta: 0:10:39  epoch: 1  step: 1072  rgb_loss: 0.1546  depth_loss: 0.0751  joint_loss: 0.1908  cross_entropy_loss: 0.8192  eikonal_loss: 0.0552  loss: 0.6543  beta: 0.0401  theta: -0.0157  data: 0.0159  batch: 0.6355  lr: 0.000477  max_mem: 9191
eta: 0:10:38  epoch: 1  step: 1073  rgb_loss: 0.1549  depth_loss: 0.0751  joint_loss: 0.1891  cross_entropy_loss: 0.8182  eikonal_loss: 0.0538  loss: 0.6539  beta: 0.0400  theta: -0.0160  data: 0.0160  batch: 0.6354  lr: 0.000477  max_mem: 9191
eta: 0:10:37  epoch: 1  step: 1074  rgb_loss: 0.1569  depth_loss: 0.0729  joint_loss: 0.1962  cross_entropy_loss: 0.8254  eikonal_loss: 0.0551  loss: 0.6579  beta: 0.0400  theta: -0.0164  data: 0.0160  batch: 0.6358  lr: 0.000477  max_mem: 9191
eta: 0:10:36  epoch: 1  step: 1075  rgb_loss: 0.1629  depth_loss: 0.0732  joint_loss: 0.1908  cross_entropy_loss: 0.8280  eikonal_loss: 0.0566  loss: 0.6654  beta: 0.0399  theta: -0.0168  data: 0.0166  batch: 0.6369  lr: 0.000477  max_mem: 9191
